model,lang,family,derived,fertility,boundary_recall,n_gold_boundaries
google/gemma-4-E2B,ca,ment,perfectament,2,0.0,1
google/gemma-4-E2B,ca,ment,absolutament,3,0.0,1
google/gemma-4-E2B,ca,ment,relativament,3,0.0,1
google/gemma-4-E2B,ca,ment,seriosament,3,0.0,1
google/gemma-4-E2B,ca,ment,nerviosament,3,0.0,1
google/gemma-4-E2B,ca,ment,lliurement,2,0.0,1
google/gemma-4-E2B,ca,ment,alegrement,3,0.0,1
google/gemma-4-E2B,ca,ment,simplement,2,0.0,1
google/gemma-4-E2B,ca,ment,possiblement,2,1.0,1
google/gemma-4-E2B,ca,ment,evidentment,2,1.0,1
google/gemma-4-E2B,ca,ment,recentment,2,1.0,1
google/gemma-4-E2B,ca,ment,urgentment,2,1.0,1
google/gemma-4-E2B,ca,ment,atentament,3,0.0,1
google/gemma-4-E2B,ca,ment,fredament,2,0.0,1
google/gemma-4-E2B,ca,ment,antigament,3,0.0,1
google/gemma-4-E2B,ca,ment,llargament,3,0.0,1
google/gemma-4-E2B,ca,ment,curtament,3,0.0,1
google/gemma-4-E2B,ca,ment,ricament,2,0.0,1
google/gemma-4-E2B,ca,ment,novament,2,0.0,1
google/gemma-4-E2B,ca,ment,greument,2,0.0,1
google/gemma-4-E2B,ca,ment,amplament,2,0.0,1
google/gemma-4-E2B,ca,dim_et,gatet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,caseta,2,1.0,1
google/gemma-4-E2B,ca,dim_et,finestreta,3,0.0,1
google/gemma-4-E2B,ca,dim_et,tauleta,2,0.0,1
google/gemma-4-E2B,ca,dim_et,llibret,2,0.0,1
google/gemma-4-E2B,ca,dim_et,arbret,2,0.0,1
google/gemma-4-E2B,ca,dim_et,gotet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,nenet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,ocellet,3,0.0,1
google/gemma-4-E2B,ca,dim_et,floreta,3,0.0,1
google/gemma-4-E2B,ca,dim_et,porteta,2,1.0,1
google/gemma-4-E2B,ca,dim_et,peuet,2,0.0,1
google/gemma-4-E2B,ca,dim_et,cotxet,3,1.0,1
google/gemma-4-E2B,ca,dim_et,llitet,2,0.0,1
google/gemma-4-E2B,ca,dim_et,pontet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,ditet,2,0.0,1
google/gemma-4-E2B,ca,dim_et,ullet,2,0.0,1
google/gemma-4-E2B,ca,dim_et,caminet,3,1.0,1
google/gemma-4-E2B,ca,dim_et,jardinet,3,0.0,1
google/gemma-4-E2B,ca,dim_et,momentet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,trenet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,paperet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,platet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,piset,2,1.0,1
google/gemma-4-E2B,ca,dim_et,ramet,2,1.0,1
google/gemma-4-E2B,ca,dim_et,filet,2,0.0,1
google/gemma-4-E2B,ca,dim_et,cadireta,3,0.0,1
google/gemma-4-E2B,ca,dim_et,horeta,2,0.0,1
google/gemma-4-E2B,ca,dim_et,camiseta,1,0.0,1
google/gemma-4-E2B,ca,dim_et,cullereta,3,1.0,1
google/gemma-4-E2B,ca,agent_dor,treballador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,jugador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,pescador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,comprador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,ballador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,nedador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,educador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,programador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,administrador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,governador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,caçador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,creador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,comptador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,explorador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,investigador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,organitzador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,dissenyador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,comunicador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,presentador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,entrenador,3,0.0,1
google/gemma-4-E2B,ca,agent_dor,ordenador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,gravador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,regador,2,0.0,1
google/gemma-4-E2B,ca,agent_dor,comprovador,3,0.0,1
