model,layer,family,condition,n_pairs,direction_consistency,pc1_var_ratio,analogy_acc,direction_consistency_ci_lo,direction_consistency_ci_hi,analogy_acc_ci_lo,analogy_acc_ci_hi
google/gemma-4-E2B,22,dim_et,delta,30,-0.00790260458483999,0.06598831347695655,-0.033333333333333326,-0.06957331494987808,0.05609337916916419,-0.2,0.13333333333333333
google/gemma-4-E2B,22,gem_lla,native,12,0.532215959379694,0.3220576843319515,1.0,,,,
google/gemma-4-E2B,22,gem_lla,morphemic,12,0.5751912691813954,0.5412087664024358,1.0,,,,
google/gemma-4-E2B,22,gem_lla,delta,12,0.04297530980170139,0.21915108207048428,0.0,-0.11734541488653467,0.20463991059902395,0.0,0.0
google/gemma-4-E2B,22,gender_a,native,25,0.3810213380435571,0.2574763008916944,0.72,,,,
google/gemma-4-E2B,22,gender_a,morphemic,25,0.5275270034749711,0.32731643442353525,0.84,,,,
google/gemma-4-E2B,22,gender_a,delta,25,0.14650566543141397,0.06984013353184088,0.12,0.040443394400147194,0.20868314520289158,-0.08,0.32
google/gemma-4-E2B,22,ly,native,40,0.7282183824684564,0.18754123453307855,0.25,,,,
google/gemma-4-E2B,22,ly,morphemic,40,0.7473011505700878,0.2591993579071102,0.875,,,,
google/gemma-4-E2B,22,ly,delta,40,0.019082768101631453,0.07165812337403163,0.625,-0.020186127834601976,0.0495379362754437,0.425,0.8
google/gemma-4-E2B,22,ment,native,40,0.6342723441152954,0.15125805759473554,0.8,,,,
google/gemma-4-E2B,22,ment,morphemic,40,0.6457779683471789,0.21623000288889851,0.575,,,,
google/gemma-4-E2B,22,ment,delta,40,0.011505624231883504,0.06497194529416297,-0.2250000000000001,-0.02532493383998141,0.05038719182148881,-0.4,-0.025
google/gemma-4-E2B,22,nom_cio,native,24,0.6428973046643737,0.24265075913046724,0.7083333333333334,,,,
google/gemma-4-E2B,22,nom_cio,morphemic,24,0.5628618567258311,0.21489277075705576,0.75,,,,
google/gemma-4-E2B,22,nom_cio,delta,24,-0.08003544793854256,-0.02775798837341148,0.04166666666666663,-0.11815884785370982,-0.030599341666400794,-0.16666666666666666,0.25
google/gemma-4-E2B,22,nom_tion,native,25,0.6700459386235457,0.2584186311353795,0.56,,,,
google/gemma-4-E2B,22,nom_tion,morphemic,25,0.6623886660200603,0.4190242439691357,0.44,,,,
google/gemma-4-E2B,22,nom_tion,delta,25,-0.0076572726034853655,0.16060561283375618,-0.12000000000000005,-0.10209639370212631,0.06874846825686604,-0.36,0.16
google/gemma-4-E2B,22,ny,native,12,0.4907260561239872,0.3935273019606056,0.6666666666666666,,,,
google/gemma-4-E2B,22,ny,morphemic,12,0.5577169138195822,0.4478065534459778,0.8333333333333334,,,,
google/gemma-4-E2B,22,ny,delta,12,0.06699085769559504,0.054279251485372215,0.16666666666666674,-0.033581628526952394,0.14993680144485796,-0.16666666666666666,0.5
google/gemma-4-E2B,22,plural,native,30,0.5073832056820131,0.31802642338276693,0.5666666666666667,,,,
